step,reward,acc,fmt,len,clipped,mem,step_time,lr,ppl_abs_diff,ess,is_weight,clipped_frac,r_std,zero_std,grad,tr_ppl,ro_ppl
148,0.5915,0.3973,0.9844,993.9,0.01339,84.88,49.57,9.98e-06,0.0608,0.9843,0.9941,0.003109,0.4055,0,0.005432,1.743,1.625
149,0.5191,0.3214,0.9955,1076,0.004464,84.88,45.54,9.98e-06,0.06703,0.9823,0.9946,0.003778,0.3993,0,0.006528,2.02,1.862
150,0.5525,0.3661,0.9643,1234,0.02679,84.88,37.83,9.98e-06,0.07478,0.9877,0.9955,0.001844,0.4355,0,0.006791,1.847,1.704
151,0.6884,0.4911,0.9955,934.2,0.004464,84.88,37.13,9.98e-06,0.07955,0.9865,0.995,0.001966,0.4589,0,0.006347,1.761,1.617
152,0.5438,0.3438,1,739.4,0,84.88,38.96,9.98e-06,0.06858,0.9869,0.9949,0.002362,0.4329,0,0.004427,1.784,1.66
153,0.5982,0.4018,0.9911,1162,0.008929,84.88,49.48,9.98e-06,0.06269,0.9821,0.9945,0.003852,0.43,0,0.008316,1.845,1.713
154,0.4547,0.2634,0.9821,1280,0.01786,84.88,38.61,9.98e-06,0.05973,0.9862,0.9942,0.002249,0.4061,0,0.01342,1.783,1.673
155,0.5169,0.317,1,871.6,0,84.88,27.22,9.98e-06,0.06748,0.9805,0.9916,0.004027,0.4015,0,0.005698,1.925,1.782
156,0.6852,0.4911,0.9866,1090,0.01339,84.88,58.1,9.98e-06,0.06649,0.9794,0.9919,0.004462,0.4078,0,0.005597,1.919,1.769
157,0.7121,0.5134,0.9978,772.4,0,84.88,32.57,9.98e-06,0.06618,0.9869,0.9977,0.00208,0.4435,0,0.005994,1.696,1.578
158,0.5426,0.3482,0.9866,1053,0.008929,84.88,74.66,9.98e-06,0.06589,0.9825,0.9941,0.003454,0.3748,0,0.005054,1.786,1.655
159,0.6768,0.4777,0.9955,705.2,0,84.88,51.57,9.98e-06,0.07645,0.9776,0.992,0.004999,0.4188,0,0.004914,1.996,1.824
160,0.646,0.4509,0.9911,918.7,0.008929,84.88,58.95,9.98e-06,0.05295,0.9899,0.9962,0.001289,0.4165,0,0.005288,1.556,1.474
161,0.4083,0.2098,1,983.1,0,84.88,67.92,9.98e-06,0.05133,0.9887,0.9955,0.002068,0.3439,0,0.005859,1.53,1.452
162,0.4272,0.2277,0.9978,841.8,0,84.88,70.33,9.98e-06,0.0662,0.9841,0.9915,0.003373,0.3946,0,0.00576,1.584,1.477
163,0.4974,0.2991,0.9933,885.2,0,84.88,53.47,9.98e-06,0.05147,0.9888,0.9969,0.001861,0.3835,0,0.006003,1.504,1.427
164,0.473,0.2812,0.9844,1289,0.01339,84.88,79.43,9.98e-06,0.05075,0.99,0.9966,0.001383,0.4215,0,0.007427,1.644,1.558
165,0.4117,0.2277,0.9688,1268,0.03125,84.88,45.48,9.98e-06,0.06473,0.9846,0.9949,0.003149,0.3923,0,0.005814,1.9,1.76
166,0.4759,0.2812,0.9911,1144,0.008929,84.88,62.77,9.98e-06,0.06108,0.9846,0.9943,0.002928,0.4543,0,0.005964,1.847,1.715
167,0.5851,0.3884,0.9933,1187,0.004464,84.88,55.45,9.98e-06,0.05163,0.9907,0.9973,0.00129,0.4523,0,0.006979,1.64,1.552
168,0.4652,0.2768,0.9688,1294,0.02679,84.88,44.91,9.98e-06,0.05999,0.9881,0.9959,0.002125,0.397,0,0.005301,1.688,1.582
169,0.6664,0.4688,0.9933,748,0,84.88,30.89,9.98e-06,0.08251,0.9847,0.9942,0.00257,0.4466,0,0.004851,1.951,1.786
170,0.575,0.3795,0.9866,759.7,0.008929,84.88,36.75,9.98e-06,0.081,0.9818,0.9937,0.003844,0.47,0,0.004464,1.936,1.778
171,0.6533,0.4643,0.9732,957.8,0.02679,84.88,43.94,9.98e-06,0.08234,0.982,0.9944,0.003197,0.4542,0,0.006096,2.012,1.84
172,0.4625,0.2812,0.9576,1402,0.03125,84.88,67.75,9.98e-06,0.06355,0.984,0.9947,0.003302,0.4352,0,0.00648,1.798,1.672
173,0.5506,0.3571,0.9866,1213,0.008929,84.88,37.78,9.98e-06,0.06278,0.9842,0.9936,0.002831,0.4131,0,0.005986,1.869,1.748
174,0.6269,0.4375,0.9821,1374,0.01786,84.88,68.94,9.98e-06,0.05833,0.9895,0.9963,0.0014,0.3894,0,0.007503,1.726,1.618
